obs_id,pkt_num,syn_num,mu_len,std_len,ip_ent,port_ent,silence_ratio,mu_silence,std_silence
0.0,510.0,6.0,163.7450980392157,341.0598672728969,0.6053555109766815,0.24766050323141425,0.06666666666666667,1.0,0.0
1.0,732.0,8.0,138.97267759562843,294.5017823374492,0.6199431415664005,0.22135606751748282,0.0,0.0,0.0
2.0,716.0,6.0,118.48603351955308,257.546293664569,0.5907320791001027,0.25093428639441734,0.0,0.0,0.0
3.0,622.0,2.0,114.16559485530547,244.4105842053316,0.47744062173007207,0.2504880195403828,0.0,0.0,0.0
4.0,527.0,0.0,114.07779886148008,254.94674002063135,0.3694365416120138,0.205592508185083,0.06666666666666667,1.0,0.0
5.0,701.0,26.0,135.04422253922968,280.1186513152866,0.5075550527677004,0.16468577169505988,0.06666666666666667,1.0,0.0
6.0,986.0,48.0,143.91886409736307,281.53518853330314,0.7068757939769196,0.15973145373839573,0.06666666666666667,1.0,0.0
7.0,1198.0,54.0,157.45909849749583,306.74343318620544,0.7356023915313177,0.15089761344442604,0.0,0.0,0.0
8.0,1096.0,28.0,159.52919708029196,316.38897953912345,0.7345681644734547,0.1262082212273701,0.06666666666666667,1.0,0.0
9.0,932.0,6.0,124.78111587982832,266.2217067673476,0.5571376219394221,0.11891069951394484,0.06666666666666667,1.0,0.0
10.0,677.0,3.0,102.04874446085672,211.30581348266273,0.5358180403925927,0.18459307841514883,0.13333333333333333,1.0,0.0
11.0,912.0,75.0,94.35635964912281,150.67008655165992,0.5391279954153796,0.2087072820923857,0.06666666666666667,1.0,0.0
12.0,1163.0,83.0,116.06534823731728,182.0708597365473,0.39758082706504383,0.21596914903867873,0.06666666666666667,1.0,0.0
13.0,1525.0,80.0,119.42163934426229,209.38673276883526,0.3339788043974663,0.18860394269969322,0.0,0.0,0.0
14.0,1436.0,8.0,109.90529247910864,198.81503616951903,0.3137430885243155,0.1653366331011502,0.0,0.0,0.0
15.0,1298.0,0.0,88.34283513097073,155.19534000112156,0.39664735692651987,0.13726752715877122,0.0,0.0,0.0
16.0,1275.0,0.0,82.35764705882353,138.2212290750328,0.46916945892037115,0.11648115434260795,0.0,0.0,0.0
17.0,1177.0,0.0,82.67289719626169,152.7394621606413,0.5626530752558416,0.10377220722967392,0.0,0.0,0.0
18.0,1083.0,0.0,83.44228993536473,168.60460705712435,0.5423058876582865,0.13274571415928613,0.0,0.0,0.0
19.0,1044.0,0.0,71.54214559386973,108.07596814470637,0.4663477058977168,0.11432167035215779,0.0,0.0,0.0
20.0,1108.0,8.0,84.62003610108303,138.43217994137055,0.3815757638265177,0.12511309139382762,0.0,0.0,0.0
21.0,1163.0,10.0,112.17368873602751,229.59764596477663,0.3873712190593588,0.09944233696950613,0.0,0.0,0.0
22.0,1210.0,28.0,126.77768595041323,248.6402313103214,0.43279746459280366,0.15424322598478052,0.0,0.0,0.0
23.0,1118.0,27.0,119.52415026833631,239.7209895184216,0.4822327278082325,0.24751711850566366,0.0,0.0,0.0
24.0,925.0,25.0,90.3254054054054,150.219662775201,0.4505854559002462,0.2898312897162222,0.0,0.0,0.0
25.0,495.0,7.0,64.67878787878787,60.09604984199518,0.43403770048783935,0.38339560491309027,0.0,0.0,0.0
26.0,268.0,0.0,54.19402985074627,12.121263918592959,0.45814538729153714,0.3262588146294927,0.0,0.0,0.0
27.0,313.0,2.0,76.29073482428115,74.10118596083255,0.4672230142976967,0.33022877620635877,0.0,0.0,0.0
28.0,705.0,2.0,73.60851063829787,105.31764818760253,0.29561344209982554,0.15631610119643008,0.0,0.0,0.0
29.0,1027.0,2.0,70.51606621226874,98.411831074969,0.1732045571068487,0.13293635176771412,0.0,0.0,0.0
30.0,1087.0,0.0,66.36522539098436,96.77110012418702,0.2004772616812062,0.1323560027665836,0.0,0.0,0.0
31.0,841.0,1.0,74.17003567181926,134.08330899618397,0.20322119720132725,0.14264058395285212,0.0,0.0,0.0
32.0,675.0,6.0,121.3274074074074,254.36749921371916,0.5407330938120055,0.17738945318599736,0.0,0.0,0.0
33.0,690.0,6.0,148.5695652173913,308.63500595332823,0.5516155224801925,0.0911855261662769,0.0,0.0,0.0
34.0,936.0,5.0,150.1784188034188,319.93521179752497,0.4520197022905212,0.10559103637519526,0.0,0.0,0.0
35.0,1100.0,2.0,109.13,250.09362684984416,0.4294080084728049,0.10960638947784304,0.0,0.0,0.0
36.0,1203.0,4.0,89.23192019950125,194.3730255528371,0.5003210571243771,0.13646425618408012,0.0,0.0,0.0
37.0,1127.0,10.0,70.0053238686779,101.43715285217205,0.5650013646023593,0.18627260393003245,0.0,0.0,0.0
38.0,1108.0,10.0,113.5442238267148,240.31896830672284,0.6400510723282677,0.17482208377818673,0.0,0.0,0.0
39.0,998.0,8.0,149.50400801603206,316.6910543918657,0.6776182299434608,0.1582177754671603,0.0,0.0,0.0
40.0,1005.0,2.0,143.726368159204,308.4623165761197,0.5838378555639833,0.09967783955921193,0.0,0.0,0.0
41.0,972.0,0.0,98.62654320987654,219.28652882345864,0.49894744915936456,0.06160968777820323,0.0,0.0,0.0
42.0,1091.0,0.0,71.95783684692942,91.1911000996932,0.49610008864411426,0.0813395177444068,0.0,0.0,0.0
43.0,1078.0,2.0,75.00463821892393,119.18948205084268,0.5285341578071174,0.04969119635634684,0.0,0.0,0.0
44.0,1104.0,2.0,80.71105072463769,134.96945046580322,0.5510959330253771,0.13072724416463277,0.0,0.0,0.0
45.0,1113.0,30.0,86.59568733153638,147.87889358925318,0.5812203368559321,0.10304955105100182,0.0,0.0,0.0
46.0,1186.0,30.0,86.57841483979765,124.61191427768584,0.638678340300038,0.1566989818352833,0.0,0.0,0.0
47.0,1288.0,30.0,87.26242236024845,104.82950258760991,0.6056539442741143,0.1155345395163905,0.0,0.0,0.0
48.0,1284.0,6.0,81.26947040498442,74.0266052789646,0.5787698062445046,0.12503097179675993,0.0,0.0,0.0
49.0,1438.0,34.0,97.1258692628651,135.10106508451514,0.614828856812755,0.1833201926852265,0.0,0.0,0.0
50.0,1393.0,34.0,89.96410624551328,132.7679163118993,0.6009527579153248,0.20932891055075417,0.0,0.0,0.0
51.0,1357.0,30.0,85.75092114959469,133.57445659331498,0.5493173452489187,0.22065552789421475,0.0,0.0,0.0
52.0,1100.0,0.0,59.056363636363635,26.191228674961625,0.51174461605907,0.13630538279754534,0.0,0.0,0.0
53.0,935.0,0.0,56.92406417112299,15.613911545474206,0.4398441563450146,0.07830122010980149,0.0,0.0,0.0
54.0,782.0,0.0,60.81585677749361,83.568106927019,0.38538319140443267,0.07375859260192623,0.0,0.0,0.0
55.0,761.0,1.0,62.20762155059133,88.1849924791513,0.443477145987687,0.047362152151116,0.0,0.0,0.0
56.0,732.0,1.0,69.05054644808743,124.3732106704988,0.5084071474579548,0.077880926387091,0.0,0.0,0.0
57.0,552.0,1.0,72.20289855072464,131.99137594908134,0.4558395206117788,0.061927388911559245,0.06666666666666667,1.0,0.0
58.0,414.0,2.0,87.97826086956522,181.2255167828397,0.5772865515167687,0.13762613050130212,0.06666666666666667,1.0,0.0
59.0,251.0,6.0,123.75697211155378,222.62147116462333,0.7435637484589561,0.11797101928377843,0.26666666666666666,2.0,1.0
60.0,534.0,6.0,107.57677902621722,211.90609163146823,0.38176827485087933,0.12339167774830226,0.2,3.0,0.0
61.0,753.0,6.0,93.93625498007968,180.04985638386384,0.14185210946826954,0.07609008871600438,0.2,3.0,0.0
62.0,1038.0,2.0,91.42870905587668,190.90400553663795,0.09087514271486839,0.09097053951251344,0.0,0.0,0.0
63.0,963.0,2.0,87.33333333333333,180.95527636874962,0.07100645541519508,0.06935059491347906,0.0,0.0,0.0
64.0,886.0,0.0,98.13544018058691,218.2226474684676,0.08215015223464335,0.0742873583834105,0.0,0.0,0.0
