obs_id,pkt_num,syn_num,mu_len,std_len,ip_ent,port_ent,silence_ratio,mu_silence,std_silence
0.0,360.0,87.0,95.35833333333333,62.57530518858413,0.0,0.0,0.26666666666666666,4.0,0.0
1.0,381.0,92.0,95.88451443569554,63.430225344321606,0.0,0.0,0.3333333333333333,2.5,0.5
2.0,295.0,67.0,93.13220338983051,62.287301643212395,0.0,0.0,0.4,3.0,1.0
3.0,140.0,18.0,76.02142857142857,52.390902680460364,0.0,0.0,0.5333333333333333,4.0,0.0
4.0,410.0,7.0,60.078048780487805,15.648696855198937,0.0,0.0,0.3333333333333333,2.5,1.5
5.0,481.0,20.0,63.91683991683992,27.75923639048252,0.0,0.0,0.26666666666666666,2.0,0.0
6.0,440.0,20.0,65.02727272727273,28.77347550369929,0.0,0.0,0.4666666666666667,7.0,0.0
7.0,97.0,13.0,76.94845360824742,50.91156090409277,0.0,0.0,0.8,12.0,0.0
8.0,191.0,42.0,92.14659685863874,61.11442770540311,0.0,0.0,0.6666666666666666,10.0,0.0
9.0,382.0,81.0,91.20680628272251,61.39049038487523,0.0,0.0,0.3333333333333333,5.0,0.0
10.0,382.0,81.0,91.20680628272251,61.39049038487523,0.0,0.0,0.3333333333333333,5.0,0.0
11.0,191.0,39.0,90.26701570680628,61.650992960201464,0.0,0.0,0.6666666666666666,10.0,0.0
12.0,251.0,1.0,60.10756972111554,4.670026326111367,0.0,0.0,0.7333333333333333,11.0,0.0
13.0,507.0,37.0,69.33530571992111,39.67389251874564,0.0,0.0,0.4,6.0,0.0
14.0,554.0,48.0,72.59927797833934,46.53260647312437,0.0,0.0,0.26666666666666666,2.0,1.0
15.0,303.0,47.0,82.94719471947195,60.865082499804096,0.0,0.0,0.5333333333333333,8.0,0.0
16.0,47.0,11.0,107.80851063829788,84.78675084621652,0.0,0.0,0.8666666666666667,13.0,0.0
17.0,277.0,36.0,77.09747292418773,47.40441144725688,0.0,0.0,0.6666666666666666,10.0,0.0
18.0,400.0,58.0,79.96,52.036942646546784,0.0,0.0,0.4666666666666667,3.5,1.5
19.0,400.0,58.0,79.96,52.036942646546784,0.0,0.0,0.4666666666666667,7.0,0.0
20.0,123.0,22.0,86.40650406504065,60.70638886273872,0.0,0.0,0.8,12.0,0.0
21.0,243.0,17.0,69.81481481481481,38.84900953484058,0.0,0.0,0.7333333333333333,11.0,0.0
22.0,484.0,64.0,78.92768595041322,53.57539811401244,0.0,0.0,0.4,6.0,0.0
23.0,680.0,113.0,84.34411764705882,57.5964597113423,0.0,0.0,0.06666666666666667,1.0,0.0
24.0,450.0,99.0,92.75555555555556,64.39094330918684,0.0,0.0,0.26666666666666666,4.0,0.0
25.0,238.0,52.0,92.4873949579832,62.40251093124924,0.0,0.0,0.4666666666666667,7.0,0.0
26.0,314.0,3.0,60.60191082802548,16.776086147025783,0.0,0.0,0.4666666666666667,7.0,0.0
27.0,519.0,24.0,64.37764932562621,31.219157596344424,0.0,0.0,0.2,3.0,0.0
28.0,559.0,37.0,67.84615384615384,36.89337654608161,0.0,0.0,0.2,3.0,0.0
29.0,287.0,37.0,75.8048780487805,49.98003340605969,0.0,0.0,0.5333333333333333,8.0,0.0
30.0,69.0,13.0,87.27536231884058,57.737758990755104,0.0,0.0,0.8666666666666667,13.0,0.0
31.0,268.0,46.0,87.54477611940298,64.58398624025325,0.0,0.0,0.6666666666666666,10.0,0.0
32.0,489.0,92.0,89.51738241308793,65.84005068754756,0.0,0.0,0.3333333333333333,5.0,0.0
33.0,682.0,140.0,92.36803519061584,67.2035536953021,0.0,0.0,0.0,0.0,0.0
34.0,414.0,94.0,95.49033816425121,68.66577777236425,0.0,0.0,0.3333333333333333,5.0,0.0
35.0,679.0,48.0,72.28129602356407,41.22257686137593,0.0,0.0,0.4,6.0,0.0
36.0,603.0,3.0,60.401326699834165,4.604936232912202,0.0,0.0,0.4,6.0,0.0
37.0,750.0,3.0,59.154666666666664,5.344163004832677,0.0,0.0,0.06666666666666667,1.0,0.0
38.0,319.0,15.0,61.075235109717866,29.347886038237494,0.0,0.0,0.13333333333333333,2.0,0.0
39.0,398.0,61.0,80.14070351758794,53.9917665555265,0.0,0.0,0.13333333333333333,2.0,0.0
40.0,428.0,105.0,97.85981308411215,66.84082061808968,0.0,0.0,0.13333333333333333,2.0,0.0
41.0,373.0,93.0,98.95174262734585,67.49332468963357,0.0,0.0,0.3333333333333333,5.0,0.0
42.0,192.0,44.0,97.45833333333333,70.14210526178663,0.0,0.0,0.6,9.0,0.0
43.0,297.0,1.0,59.34680134680135,5.092834955414894,0.0,0.0,0.6,9.0,0.0
44.0,551.0,32.0,66.75862068965517,35.90896173327418,0.0,0.0,0.26666666666666666,4.0,0.0
45.0,732.0,81.0,75.32786885245902,47.89593842191772,0.0,0.0,0.0,0.0,0.0
46.0,513.0,95.0,86.33723196881091,59.02602358099686,0.0,0.0,0.2,3.0,0.0
47.0,259.0,64.0,97.03861003861005,63.9748869014441,0.0,0.0,0.5333333333333333,8.0,0.0
48.0,415.0,33.0,71.6987951807229,37.564445808634744,0.0,0.0,0.5333333333333333,8.0,0.0
49.0,629.0,63.0,73.40858505564388,43.46802259477649,0.0,0.0,0.3333333333333333,5.0,0.0
50.0,739.0,80.0,74.90663058186739,46.677086628415175,0.0,0.0,0.13333333333333333,2.0,0.0
51.0,387.0,62.0,81.6485788113695,56.81867907001954,0.0,0.0,0.4666666666666667,7.0,0.0
52.0,397.0,41.0,76.360201511335,49.84367227091697,0.0,0.0,0.4666666666666667,7.0,0.0
53.0,416.0,33.0,71.4014423076923,43.9004544596739,0.0,0.0,0.3333333333333333,5.0,0.0
54.0,459.0,33.0,69.5838779956427,42.17417770550413,0.0,0.0,0.13333333333333333,2.0,0.0
55.0,172.0,9.0,62.825581395348834,37.14935032154859,0.0,0.0,0.4666666666666667,7.0,0.0
56.0,302.0,45.0,79.01324503311258,52.00687508740722,0.1589346333385945,0.0,0.4666666666666667,7.0,0.0
57.0,414.0,76.0,86.2584541062802,57.91838638695128,0.12370996945399722,0.0,0.4,3.0,2.0
58.0,1026.0,76.0,61.425925925925924,42.32120826461561,0.05890112768564316,0.0,0.06666666666666667,1.0,0.0
59.0,771.0,31.0,53.90012970168612,33.96430013280214,0.0,0.0,0.3333333333333333,2.5,1.5
60.0,616.0,0.0,44.5974025974026,5.833756982102273,0.0,0.0,0.6,9.0,0.0
61.0,4.0,0.0,40.0,0.0,0.0,0.0,0.9333333333333333,14.0,0.0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0
63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0
65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0
66.0,7.0,2.0,76.57142857142857,37.73538370910609,0.0,0.0,0.9333333333333333,14.0,0.0
67.0,436.0,110.0,98.1559633027523,67.00779419431477,0.0,0.0,0.6,9.0,0.0
68.0,1304.0,195.0,84.21319018404908,54.45950776061281,0.0,0.0,0.26666666666666666,4.0,0.0
69.0,1434.0,193.0,82.28591352859135,52.311005209291,0.0,0.0,0.26666666666666666,4.0,0.0
70.0,1354.0,85.0,72.11890694239291,37.06009188631437,0.0,0.0,0.5333333333333333,4.0,3.0
71.0,730.0,0.0,60.12054794520548,6.6183008808206285,0.0,0.0,0.5333333333333333,4.0,3.0
72.0,900.0,23.0,62.39888888888889,22.11057562165643,0.0,0.0,0.26666666666666666,2.0,1.0
73.0,878.0,104.0,76.16400911161732,51.55264004436957,0.0,0.0,0.06666666666666667,1.0,0.0
74.0,634.0,104.0,84.56624605678233,58.46627701819638,0.0,0.0,0.4,6.0,0.0
75.0,996.0,83.0,74.03212851405623,44.07670581918565,0.0,0.0,0.5333333333333333,8.0,0.0
76.0,878.0,47.0,68.55694760820046,32.84596223784331,0.0,0.0,0.5333333333333333,4.0,3.0
77.0,1063.0,48.0,66.13358419567263,31.943432937768044,0.0,0.0,0.2,1.5,0.5
78.0,485.0,50.0,72.77731958762887,47.5775211263337,0.0,0.0,0.3333333333333333,2.5,1.5
